Datetime,Hashrate
2025-05-29 03:00:00,4.446
2025-05-29 04:00:00,4.365
2025-05-29 05:00:00,4.340
2025-05-29 06:00:00,4.423
2025-05-29 07:00:00,4.436
2025-05-29 08:00:00,4.455
2025-05-29 09:00:00,4.438
2025-05-29 10:00:00,4.425
2025-05-29 11:00:00,4.365
2025-05-29 12:00:00,4.511
2025-05-29 13:00:00,4.556
2025-05-29 14:00:00,4.459
2025-05-29 15:00:00,4.391
2025-05-29 16:00:00,4.469
2025-05-29 17:00:00,4.562
2025-05-29 18:00:00,4.596
2025-05-29 19:00:00,4.531
2025-05-29 20:00:00,4.647
2025-05-29 21:00:00,4.694
2025-05-29 22:00:00,4.869
2025-05-29 23:00:00,4.833
2025-05-30 00:00:00,4.887
2025-05-30 01:00:00,4.969
2025-05-30 02:00:00,5.011
2025-05-30 03:00:00,5.007
2025-05-30 04:00:00,5.082
2025-05-30 05:00:00,5.049
2025-05-30 06:00:00,5.005
2025-05-30 07:00:00,4.950
2025-05-30 08:00:00,5.057
2025-05-30 09:00:00,4.982
2025-05-30 10:00:00,5.134
2025-05-30 11:00:00,5.079
2025-05-30 12:00:00,5.062
2025-05-30 13:00:00,5.016
2025-05-30 14:00:00,5.020
2025-05-30 15:00:00,5.029
2025-05-30 16:00:00,5.084
2025-05-30 17:00:00,5.024
2025-05-30 18:00:00,5.054
2025-05-30 19:00:00,4.926
2025-05-30 20:00:00,4.894
2025-05-30 21:00:00,4.793
2025-05-30 22:00:00,4.815
2025-05-30 23:00:00,4.779
2025-05-31 00:00:00,4.704
2025-05-31 01:00:00,4.728
2025-05-31 02:00:00,4.750
2025-05-31 03:00:00,4.749
2025-05-31 04:00:00,4.769
2025-05-31 05:00:00,4.891
2025-05-31 06:00:00,4.829
2025-05-31 07:00:00,4.764
2025-05-31 08:00:00,4.824
2025-05-31 09:00:00,4.845
2025-05-31 10:00:00,4.810
2025-05-31 11:00:00,4.908
2025-05-31 12:00:00,4.785
2025-05-31 13:00:00,4.676
2025-05-31 14:00:00,4.716
